Employee_id,First_Name,Last_Name,Gender,Salary,Date_of_Birth,Age,Country,Department_id,Date_of_Joining,Manager_id,Currency,End_Date
351,Alta,Gianolo,Male,104808,25/12/1981,37,China,6,11/08/2008,6,USD,31/01/2002
231,Milicent,Aylett,Male,149409,31/01/1987,57,Brazil,13,10/03/2001,5,USD,02/09/2014
384,Biron,Kolin,Female,103271,23/09/1983,64,Australia,10,16/01/2012,2,USD,01/08/2009
384,Taylor,Harroway,Female,126224,24/03/1992,46,UAE,6,18/07/2015,1,USD,27/04/2010
393,Ab,Luckin,Male,124880,28/03/1997,47,Sweden,12,28/05/2000,6,USD,21/02/2017
255,Annmarie,Narracott,Male,144420,20/09/1994,51,Australia,1,28/09/2005,7,USD,07/12/2000
139,Weber,Jaulmes,Male,123856,11/09/1994,50,Japan,6,25/11/2015,2,USD,18/04/2011
152,Marillin,Jelf,Male,116607,13/12/1992,30,Brazil,4,26/10/2010,1,USD,18/08/2005
451,Desmund,Cockshtt,Male,83706,15/12/1988,56,Denmark,15,13/08/2002,4,USD,05/10/2006
208,Melinde,Gambie,Female,81213,31/03/1992,40,China,3,12/11/2009,9,USD,11/05/2000
153,Fredericka,Haselup,Male,93297,13/02/1992,40,UAE,11,27/03/2001,3,USD,02/10/2006
191,Steffen,Fatharly,Female,147277,11/11/1996,57,UAE,8,06/01/2016,10,USD,10/08/2018
9,Marlow,Oen,Male,116586,10/06/1983,52,Denmark,10,02/10/2003,7,USD,04/09/2012
16,Findley,Kensit,Female,110649,25/01/1983,47,Canada,3,22/03/2002,7,USD,22/03/2002
209,Lewiss,Vannini,Male,139515,11/03/1995,58,Japan,11,25/02/2016,5,USD,09/09/2002
383,Danie,Trays,Female,81631,30/04/1995,47,Germay,3,05/07/2000,7,USD,23/09/2011
387,Heidi,Dogerty,Male,108132,05/06/1993,55,Japan,15,12/10/2005,4,USD,06/02/2017
4,Audrey,Edgeller,Female,109491,10/10/1997,31,Canada,19,03/06/2007,2,USD,11/05/2001
